Date,WSSA_CODE,PropertyMa,PrimaryBio,NUM_RELEAS,Comments1,Release,Lat,Lon
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-1,47.16226,-112.33523
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-2,47.16271,-112.33609
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-3,47.12933,-112.34387
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-4,47.13471,-112.35863
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-5,47.15419,-112.40268
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-6,47.14486,-112.40364
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-7,47.15506,-112.38105
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-8,47.11594,-112.38277
8/28/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19- 9,47.2028,-112.28412
8/29/2019,CENMA,Thompson,CYPAC,200,GPS,Thompson 19-10,47.14353,-112.24671
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC1,47.63330556,-112.6916667
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC2,47.63338889,-112.6920556
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC3,47.63330556,-112.69225
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC4,47.63316667,-112.6920833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC5,47.633,-112.6916944
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC6,47.63286111,-112.6914167
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC7,47.63305556,-112.6913333
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC8,47.63261111,-112.6919722
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC9,47.63269444,-112.6922778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC10,47.63291667,-112.6928889
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC11,47.63241667,-112.6927778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC12,47.63222222,-112.6925833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC13,47.63202778,-112.6923889
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC14,47.632,-112.6931111
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC15,47.63180556,-112.6925556
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC16,47.63172222,-112.6933611
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC17,47.63194444,-112.6935833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC18,47.63169444,-112.6931111
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC19,47.63158333,-112.6934444
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC20,47.63166667,-112.693
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC21,47.63147222,-112.6929444
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC22,47.6315,-112.69325
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC23,47.63091667,-112.6939167
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC24,47.62816667,-112.6925278
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC25,47.62797222,-112.6926944
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC26,47.62761111,-112.6932222
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC27,47.627,-112.6944722
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC28,47.62658333,-112.6945
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC29,47.62625,-112.6942778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC30,47.62583333,-112.6945278
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC31,47.62577778,-112.6951667
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC32,47.62538889,-112.6965
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC33,47.62513889,-112.6971667
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderBC34,47.62488889,-112.6964444
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC1,47.63047222,-112.6934167
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC2,47.62925,-112.6939167
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC3,47.62930556,-112.6948611
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC4,47.62869444,-112.694
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC5,47.62838889,-112.6930833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC6,47.62841667,-112.69375
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC7,47.62844444,-112.69425
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC8,47.62833333,-112.6948333
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC9,47.62808333,-112.6955
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC10,47.62780556,-112.6963611
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC11,47.62763889,-112.6959444
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC12,47.62769444,-112.6953611
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC13,47.62752778,-112.6947222
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC14,47.62747222,-112.6958056
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC15,47.62683333,-112.6965833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC16,47.62658333,-112.6955833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC17,47.62641667,-112.69525
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC18,47.62619444,-112.6957222
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC19,47.62605556,-112.6960833
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC20,47.62588889,-112.6963056
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC21,47.626,-112.6967778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC22,47.62586111,-112.6969722
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC23,47.62594444,-112.6971667
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC24,47.62572222,-112.6968056
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC25,47.624,-112.6961111
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenBC26,47.62347222,-112.6951944
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL1,47.61577778,-112.69625
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL2,47.61480556,-112.6947778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL3,47.6145,-112.6944444
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL4,47.61436111,-112.6948611
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL5,47.61458333,-112.6956389
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL6,47.61430556,-112.6952778
8/28/2019,CENMA,USFS,CYPAC,200,GPS,SpinderRL7,47.61361111,-112.6936389
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenRL1,47.61408333,-112.6934722
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenRL2,47.61405556,-112.6929167
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenRL3,47.61433333,-112.6931111
8/28/2019,CENMA,USFS,CYPAC,200,GPS,AllenRL4,47.61402778,-112.6924444
8/29/2019,CENMA,Rocky,CYPAC,200,point on map,2019_Ingersoll1,47.218652,-112.252416
8/29/2019,CENMA,Rocky,CYPAC,200,point on map,2019_Ingersoll2,47.218652,-112.252416
8/29/2019,CENMA,Rocky,CYPAC,200,point on map,2019_Ingersoll3,47.218652,-112.252416
8/29/2019,CENMA,Rocky,CYPAC,200,point on map,2019_Ingersoll4,47.218652,-112.252416
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll5,47.130392,-112.359027
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll6,47.130008,-112.358735
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll7,47.130853,-112.359879
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll8,47.132743,-112.360225
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll9,47.133136,-112.359151
8/29/2019,CENMA,Thompson,CYPAC,200,point on map,2019_Ingersoll10,47.133911,-112.358354
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll11,47.124761,-112.367564
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll12,47.124594,-112.370027
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll13,47.123343,-112.365546
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll14,47.123335,-112.36704
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll15,47.121684,-112.366351
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll16,47.122556,-112.355029
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll17,47.123603,-112.350925
8/29/2019,CENMA,Ingersoll,CYPAC,200,point on map,2019_Ingersoll18,47.125051,-112.349019
8/29/2019,CENMA,Steinbach,CYPAC,200,point on map,2019_Ingersoll19,47.178499,-112.302789
8/29/2019,CENMA,Steinbach,CYPAC,200,point on map,2019_Ingersoll20,47.178499,-112.302789
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough1,47.190754,-112.356003
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough2,47.188326,-112.358266
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough3,47.186462,-112.358088
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough4,47.187076,-112.35641
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough5,47.186506,-112.350183
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough6,47.18974,-112.350176
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough7,47.187557,-112.3478
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough8,47.185925,-112.34532
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough9,47.186838,-112.342024
8/28/2019,CENMA,McDonough,CYPAC,200,point on map,2019_McDonough10,47.184987,-112.341042
,,,,,,,,
,,,,,,,,
